Code,Age,Household Number,Household with Children Number,Household with Children Ratio
44109,35.5,40492,3162,0.078089499
53511,38.1,49793,5538,0.111220453
49686,46,33823,4432,0.131035094
44281,40,32632,5901,0.180834763
15061,42.7,12462,1641,0.131680308
91406,36.3,55488,6948,0.125216263
2453,33.6,29826,3052,0.102326829
17601,43.6,53125,8785,0.165364706
87020,38.2,11189,730,0.065242649
45342,39.9,37290,5539,0.148538482
32792,35.6,52222,4734,0.09065145
92054,35,42263,5351,0.12661193
29154,36.7,29949,3726,0.1244115
50322,39.2,31457,4965,0.157834504
29073,38.2,47790,7157,0.149759364
29803,49.1,38901,5464,0.140459114
2149,36.3,46621,5115,0.109714506
91306,37.4,50219,6715,0.133714331
85234,35.2,49591,10483,0.211389163
41501,38.4,22330,2720,0.121809225
54901,31,38204,3394,0.088838865
93722,31.2,85544,13094,0.153067427
53204,29.2,39099,5883,0.150464206
92651,52.7,25070,2868,0.114399681
85719,22.9,49386,2401,0.048617017
43764,40.2,8650,866,0.100115607
85260,46.3,40295,5247,0.130214667
30315,33.3,35526,1507,0.042419636
66062,35.4,82672,17780,0.21506677
73018,39.1,20410,2497,0.122341989
32303,32.4,49036,4502,0.091810099
32301,28.2,31658,1570,0.04959252
73533,39.4,28050,4195,0.149554367
43528,45,16196,2147,0.132563596
22015,40.7,45008,7994,0.177612869
75002,38.2,72030,15945,0.221366097
79936,32.1,112837,16282,0.14429664
98823,37,11427,1938,0.16959832
53142,39.3,33811,5232,0.154742539
78521,29.5,91676,15224,0.166063092
13219,43.8,15271,1783,0.116757252
13502,36.7,33677,3497,0.103839416
3079,44.5,29552,3468,0.117352463
55421,36.7,28893,3241,0.112172499
75217,28.9,90135,16401,0.181960393
75220,31.1,42467,7325,0.172486872
75243,32.2,69053,8201,0.118763848
78411,40.4,26270,2105,0.080129425
30024,38.5,79861,19539,0.244662601
